ratio,volume,energy
95,13.2900000000,-5.6855063900
96,13.7100000000,-5.8320067900
97,14.1400000000,-5.9403917000
98,14.5900000000,-6.0156078200
99,15.0400000000,-6.0612761300
100,15.5000000000,-6.0809338900
101,15.9700000000,-6.0777421300
102,16.4500000000,-6.0546400700
103,16.9300000000,-6.0144813000
104,17.4300000000,-5.9590601900
105,17.9400000000,-5.8907490300
