,vol-l3i3,energy-l3i3,vol-l3i5,energy-l3i5,vol-l4i3,energy-l4i3,energy-l3i3-rel,energy-l4i3-rel,energy-l3i5-rel
0,13.4890234012755,-5.71862268447876,13.484300467077414,-5.701781272888184,13.471318336106773,-5.70659875869751,0.3623112055212401,0.3743351313024901,0.37915261711181625
1,13.919492180143903,-5.850503921508789,13.914618525196326,-5.837601184844971,13.901222101663524,-5.840173721313477,0.23042996849121078,0.24076016868652328,0.24333270515502914
2,14.359023128400423,-5.947056770324707,14.353995579750922,-5.934665679931641,14.340176142026042,-5.937691688537598,0.1338771196752928,0.14324220146240219,0.14626821006835922
3,14.807710643642856,-6.011229991912842,14.802525995287384,-5.99896240234375,14.78827473089023,-6.002960681915283,0.06970389808715804,0.07797320808471664,0.08197148765624984
4,15.26564912346898,-6.046755313873291,15.26030413635194,-6.034986972808838,15.245612141951966,-6.039637565612793,0.034178576126708826,0.04129632438720687,0.04594691719116195
5,15.732932965476598,-6.057689189910889,15.727424367490784,-6.046305179595947,15.712282648907156,-6.051135063171387,0.02324470008911117,0.029798826828613123,0.034628710404052576
6,16.209656567263508,-6.047793865203857,16.203981053250125,-6.035745143890381,16.1883805254517,-6.040681838989258,0.03314002479614242,0.04025205101074203,0.04518874610961898
7,16.69591432642749,-6.020007133483887,16.69006855817616,-6.0058794021606445,16.67400004528147,-6.011295795440674,0.06092675651611312,0.06963809455932601,0.07505448783935531
8,17.191800640566353,-5.976178646087647,17.185781246815107,-5.959519863128662,17.169235482092375,-5.965697288513184,0.10475524391235247,0.11523660148681625,0.12141402687133773
9,17.697409907277873,-5.9171223640441895,17.691213483713152,-5.899491786956787,17.674181109580307,-5.906170845031738,0.1638115259558104,0.17476304496826156,0.18144210304321273
10,18.21283652415985,-5.844724655151367,18.20645963341653,-5.828084468841553,18.188931201441147,-5.834641933441162,0.23620923484863265,0.24629195655883773,0.2528494211584471
