,vol-l3i3,energy-l3i3,vol-l3i5,energy-l3i5,vol-l4i3,energy-l4i3,energy-l3i3-rel,energy-l4i3-rel,energy-l3i5-rel
0,9.307807056652594,-6.925099849700928,9.294145992660203,-6.92000675201416,9.22437654501704,-6.904888153076172,0.15600967407226562,0.17622137069702148,0.1611027717590332
1,9.60484266986394,-6.995998382568359,9.590745646843231,-6.995838642120361,9.518749680049217,-6.989107131958008,0.08511114120483398,0.09200239181518555,0.08527088165283203
2,9.908131435855134,-7.039970397949219,9.893589276056758,-7.030555725097656,9.819319917737676,-7.036060810089111,0.04113912582397461,0.04504871368408203,0.05055379867553711
3,10.217738491634318,-7.064955711364746,10.202741921707354,-7.044770240783691,10.126151811235088,-7.058987617492676,0.016153812408447266,0.022121906280517578,0.03633928298950195
4,10.533728974209604,-7.077443599700928,10.518268625201577,-7.051375389099121,10.43930991369412,-7.068740367889404,0.003665924072265625,0.012369155883789062,0.029734134674072266
5,10.856168020589124,-7.081109523773193,10.840234427945996,-7.053384780883789,10.758858778267442,-7.071291923522949,0.0,0.00981760025024414,0.027724742889404297
6,11.185120767780994,-7.076739311218262,11.168704371347191,-7.04986572265625,11.084862958107715,-7.068617820739746,0.004370212554931641,0.012491703033447266,0.03124380111694336
7,11.52065235279334,-7.063398361206055,11.50374349681172,-7.0391130447387695,11.417387006367637,-7.0601325035095215,0.017711162567138672,0.020977020263671875,0.04199647903442383
8,11.862827912634293,-7.039972305297852,11.84541684574615,-7.019496440887451,11.756495476199843,-7.044044494628906,0.0411372184753418,0.03706502914428711,0.06161308288574219
9,12.211712584311964,-7.005874156951904,12.193789459557053,-6.990044593811035,12.102252920757026,-7.018593311309815,0.07523536682128906,0.06251621246337802,0.0910649299621582
10,12.56737150483448,-6.96126651763916,12.548926379650991,-6.951082229614258,12.454723893191847,-6.982848167419434,0.1198430061340332,0.09826135635375977,0.13002729415893555
