ratio,volume,energy
95,9.2700000000,-6.8381151000
96,9.5650000000,-6.9129134700
97,9.8700000000,-6.9672481850
98,10.1750000000,-7.0039106600
99,10.4900000000,-7.0255411200
100,10.8150000000,-7.0331706300
101,11.1400000000,-7.0280616350
102,11.4750000000,-7.0117973700
103,11.8150000000,-6.9850894300
104,12.1650000000,-6.9495264400
105,12.5150000000,-6.9057250650
