vol-l3i3,energy-l3i3,vol-l3i5,energy-l3i5,vol-l4i3,energy-l4i3,vol-l2i5,energy-l2i5
13.489023401275501,-5.71862268447876,13.484300467077414,-5.701781272888184,13.471318336106771,-5.70659875869751,13.504934484827002,-5.722599983215332
13.919492180143903,-5.850503921508789,13.914618525196326,-5.837601184844971,13.901222101663523,-5.840173721313477,13.935911026526206,-5.855227470397949
14.359023128400423,-5.947056770324707,14.353995579750922,-5.934665679931641,14.340176142026042,-5.937691688537598,14.375960426966627,-5.94970703125
14.807710643642855,-6.011229991912842,14.802525995287384,-5.99896240234375,14.78827473089023,-6.002960681915283,14.825177195093508,-6.012744903564453
15.265649123468979,-6.046755313873291,15.260304136351941,-6.034986972808838,15.245612141951966,-6.039637565612793,15.283655839852058,-6.048532009124756
15.732932965476598,-6.057689189910889,15.727424367490784,-6.046305179595947,15.712282648907157,-6.051135063171387,15.751490870187496,-6.059953689575195
16.209656567263508,-6.047793865203857,16.203981053250125,-6.035745143890381,16.1883805254517,-6.040681838989258,16.228776795045054,-6.049079418182373
16.69591432642749,-6.020007133483887,16.69006855817616,-6.0058794021606445,16.67400004528147,-6.011295795440674,16.715608123369936,-6.0182647705078125
17.191800640566353,-5.9761786460876465,17.185781246815107,-5.959519863128662,17.169235482092375,-5.965697288513184,17.21207936410737,-5.971004486083984
17.697409907277873,-5.9171223640441895,17.691213483713152,-5.899491786956787,17.674181109580307,-5.906170845031738,17.718285026202587,-5.909657001495361
18.212836524159854,-5.844724655151367,18.20645963341653,-5.828084468841553,18.188931201441147,-5.834641933441162,18.23431961860081,-5.836139678955078
