vol-l3i3,energy-l3i3,vol-l3i5,energy-l3i5,vol-l4i3,energy-l4i3,vol-l2i5,energy-l2i5
13.548420666380668,-5.699017524719238,13.541952273330713,-5.687356948852539,13.516644778634523,-5.678448677062988,13.491824575664129,-5.722201347351074
13.980784961878943,-5.829765319824219,13.974110146082543,-5.817253112792969,13.947995025362294,-5.811618804931641,13.922382747076572,-5.855442047119141
14.422251330920123,-5.926405906677246,14.41536574679407,-5.909273624420166,14.38842599801803,-5.908669948577881,14.362004969756653,-5.950404167175293
14.872914586770255,-5.991231918334961,14.865813843464856,-5.969796180725098,14.838032287496825,-5.973650932312012,14.810785660905058,-6.013833045959473
15.332869542695429,-6.027434349060059,15.325549204094493,-6.003702163696289,15.296908484693756,-6.010244369506836,15.268819237722496,-6.049883842468262
15.8022110119617,-6.03868293762207,15.79466659668256,-6.014293193817139,15.7651491805039,-6.021777153015137,15.736200117409687,-6.061366081237793
16.281033807835144,-6.028558731079102,16.27326078922865,-6.00394344329834,16.24284896582234,-6.01136589050293,16.213022717167316,-6.050604820251465
16.769432743581856,-6.00009822845459,16.76142654973231,-5.9748029708862305,16.73010243154418,-5.981985092163086,16.699381454196104,-6.020171165466309
17.26750263246787,-5.955541610717773,17.259258646193157,-5.929314136505127,17.227004168564484,-5.936391830444336,17.195370745696735,-5.9733076095581055
17.775338287759286,-5.896141052246094,17.766851846610745,-5.870206832885742,17.733648767778337,-5.876969337463379,17.70108500886994,-5.912416458129883
18.293034522722166,-5.823564529418945,18.28430091898465,-5.799817085266113,18.25013082008082,-5.805745601654053,18.216618660916392,-5.839428901672363
