ratio,volume,energy
95,13.4200000000,-5.6412233800
96,13.8500000000,-5.7827811000
97,14.2850000000,-5.8872278900
98,14.7300000000,-5.9591248950
99,15.1850000000,-6.0018168700
100,15.6500000000,-6.0192317000
101,16.1250000000,-6.0141548050
102,16.6100000000,-5.9896640650
103,17.1050000000,-5.9480209200
104,17.6050000000,-5.8918326650
105,18.1200000000,-5.8229528250
