ratio,volume,energy
95,9.2600000000,-6.8077398000
96,9.5500000000,-6.8882867000
97,9.8500000000,-6.9477096500
98,10.1600000000,-6.9879129800
99,10.4800000000,-7.0110317000
100,10.8000000000,-7.0190960600
101,11.1200000000,-7.0139030800
102,11.4600000000,-6.9975568100
103,11.8000000000,-6.9732230300
104,12.1500000000,-6.9394690500
105,12.5000000000,-6.8974428100
